geneId,cid
2,CID100002713
2,CID005281728
2,CID000011464
2,CID000010258
2,CID000000781
2,CID005280378
2,CID005317062
2,CID000072307
2,CID000014900
2,CID000040032
2,CID000637518
2,CID000002726
2,CID000159384
2,CID000010438
2,CID000007502
2,CID000010114
2,CID000003526
2,CID100009238
2,CID000009238
2,CID006850759
2,CID005280490
2,CID000006616
2,CID000006990
2,CID005280801
2,CID000008902
2,CID000006591
2,CID000001177
2,CID006325612
2,CID000008320
2,CID006850740
2,CID000008480
2,CID046173710
2,CID100003327
2,CID000000461
2,CID000006010
2,CID000006291
2,CID000024193
2,CID000442679
2,CID000171555
2,CID100008989
2,CID005320767
2,CID000445639
2,CID105320719
2,CID000000336
2,CID005281418
2,CID000024499
2,CID000007425
2,CID000065042
2,CID000006200
2,CID000010139
2,CID000000325
2,CID000006214
2,CID000638024
2,CID000006185
2,CID005283387
2,CID046173877
2,CID000000456
2,CID011954171
2,CID000108081
2,CID005281805
2,CID100007149
2,CID000007149
2,CID005283329
2,CID000011197
2,CID100011197
2,CID000480802
2,CID000008195
2,CID000000127
2,CID000007411
2,CID100000554
2,CID000000554
2,CID000072302
2,CID000083190
2,CID000440122
2,CID000008064
2,CID000439710
2,CID000022316
2,CID000008630
2,CID000008140
2,CID100447893
2,CID000439635
2,CID000081274
2,CID000442986
2,CID006419835
2,CID000091474
2,CID000154451
2,CID005281651
2,CID053394272
2,CID005281806
2,CID005281812
2,CID015173882
2,CID000126331
2,CID000167681
2,CID005280385
2,CID100124595
2,CID000117476
2,CID012442899
2,CID000442824
2,CID000193060
2,CID000073400
2,CID005280781
2,CID005281168
2,CID011972311
2,CID111972311
2,CID000108135
2,CID044575401
2,CID011259022
2,CID000072285
2,CID000160526
2,CID000441765
2,CID000168119
2,CID000073645
2,CID100636458
2,CID000031214
2,CID000073571
2,CID000169868
2,CID000151556
2,CID012313935
2,CID000119209
2,CID005281417
2,CID100442690
2,CID000442690
2,CID001782669
2,CID000069896
2,CID000442544
2,CID005280473
2,CID003013843
2,CID100234441
2,CID000234441
2,CID005273621
2,CID000073640
2,CID000161558
2,CID005282824
2,CID000010208
2,CID000035887
2,CID000008105
2,CID000002949
2,CID000005200
2,CID000160868
2,CID100160869
2,CID000010640
2,CID000010143
2,CID000006688
2,CID005283336
2,CID010260582
2,CID110260582
2,CID000119033
2,CID100119034
2,CID016211091
2,CID000639671
2,CID000009086
2,CID000050599
2,CID005280805
2,CID105280805
2,CID100002866
2,CID000124268
2,CID100124268
2,CID005324512
2,CID000643963
2,CID000120330
2,CID000007778
2,CID000000390
2,CID100006753
2,CID000006753
2,CID000163812
2,CID000031269
2,CID000075730
2,CID000093004
2,CID100093004
2,CID000092815
2,CID000111104
2,CID000161218
2,CID000000366
2,CID000442127
2,CID000005976
2,CID000065037
2,CID013894537
2,CID100171769
2,CID103086518
2,CID003086518
2,CID000007362
2,CID000006738
2,CID000010458
2,CID015736808
2,CID000265266
2,CID000064695
2,CID000000701
2,CID003035446
2,CID000012128
2,CID000008769
2,CID000010733
2,CID005281248
2,CID005280900
2,CID000448446
2,CID100595209
2,CID000595209
2,CID000008132
2,CID000101746
2,CID000062349
2,CID000006751
2,CID000073174
2,CID100073174
2,CID000014005
2,CID000062655
2,CID000188408
2,CID100188408
2,CID000442292
2,CID100026305
2,CID000026305
2,CID100003631
2,CID105281051
2,CID100092802
2,CID000161816
2,CID006433206
2,CID045485201
2,CID145485201
2,CID000439536
2,CID105282746
