geneId,cid
103,CID005280633
103,CID000002518
103,CID000023926
103,CID100000314
103,CID000000273
103,CID000023931
103,CID100000177
103,CID000000890
103,CID000000847
103,CID000000939
103,CID000000290
103,CID000000799
103,CID000000073
103,CID100000073
103,CID000000341
103,CID100000341
103,CID000440938
103,CID000005758
104,CID000643774
104,CID000000312
104,CID100000177
104,CID000023995
104,CID000000285
104,CID000736190
104,CID001548952
104,CID000023931
104,CID000444215
104,CID000000403
104,CID000023979
104,CID000023926
104,CID000001111
104,CID000000527
104,CID000444973
104,CID100000346
104,CID000005794
104,CID000001189
104,CID000005958
104,CID000000612
104,CID021627927
104,CID000000835
104,CID100015979
104,CID000015979
104,CID000065068
104,CID000006007
104,CID005316683
104,CID000001055
104,CID100000761
104,CID000006323
104,CID000000177
104,CID000000772
104,CID000005758
105,CID000000312
105,CID000643774
105,CID000023931
105,CID000444215
105,CID100000931
105,CID000736190
105,CID000005758
105,CID000001111
105,CID000000403
105,CID000023926
105,CID000000527
105,CID000005958
105,CID000000612
105,CID000444973
105,CID000005794
105,CID100000346
105,CID100000761
105,CID100000177
105,CID000000177
105,CID000004972
105,CID000442425
105,CID000031243
105,CID000023979
105,CID000104728
105,CID000001055
105,CID000000470
105,CID000005991
105,CID024837234
105,CID000023995
105,CID000005235
105,CID000006323
105,CID000001189
105,CID000000703
105,CID000065068
105,CID000014834
105,CID000000285
105,CID000000772
105,CID000001050
105,CID000000751
105,CID100000774
105,CID000006275
105,CID000006252
105,CID000000603
105,CID000007421
105,CID000007501
105,CID000000860
105,CID000000273
105,CID100000860
105,CID000000346
105,CID000001131
105,CID000000191
105,CID000000835
105,CID000000587
105,CID000001033
105,CID000002761
105,CID000014986
105,CID006326972
106,CID100000314
106,CID000000273
106,CID000000312
106,CID000008344
106,CID100008344
106,CID000006015
107,CID000000177
107,CID100000177
107,CID000000273
107,CID000000312
107,CID000008344
107,CID100008344
109,CID000000987
109,CID000445642
109,CID000005282
109,CID000011006
109,CID100011006
109,CID000003894
109,CID100000931
109,CID000010468
109,CID000002971
109,CID000445871
109,CID005320536
109,CID000008095
109,CID000689056
109,CID000014986
109,CID006326972
109,CID000000997
111,CID000010468
111,CID000011006
111,CID100011006
111,CID000002971
111,CID000000987
111,CID000003894
111,CID000005282
111,CID100000931
111,CID000000273
111,CID000000189
111,CID000000312
111,CID000107985
111,CID100008344
111,CID000008344
111,CID000174251
111,CID105281708
111,CID000005758
111,CID005281708
114,CID100000314
114,CID000000273
114,CID000000285
114,CID000000851
114,CID100000304
114,CID000221518
114,CID000011198
114,CID102826712
114,CID000005998
114,CID100000305
114,CID000014425
114,CID000000385
114,CID005281167
114,CID100008344
114,CID000008344
114,CID000000086
114,CID000001110
114,CID000012819
114,CID000000136
114,CID000000244
114,CID000011006
114,CID100011006
114,CID000008177
114,CID000010470
114,CID000000987
114,CID000439524
114,CID000008194
114,CID000092782
114,CID100008051
114,CID000008051
114,CID000000180
114,CID000445642
114,CID000005794
114,CID005282769
114,CID000023995
114,CID000008893
114,CID000008183
114,CID000010468
114,CID000005991
114,CID005280451
114,CID005280965
114,CID100000231
114,CID001548952
115,CID000000273
115,CID100000314
115,CID102826712
115,CID005281167
115,CID000000385
115,CID000000136
115,CID000012819
115,CID000000244
115,CID000006015
115,CID100011006
115,CID000011006
115,CID000014425
115,CID000439524
115,CID000008194
115,CID000092782
115,CID000221518
115,CID100000304
115,CID100008051
115,CID000008051
115,CID005282769
115,CID000023995
115,CID000008893
115,CID000008183
115,CID000010468
115,CID000005991
115,CID100000231
115,CID005280344
116,CID000011198
116,CID000008083
116,CID000010470
116,CID000000851
116,CID100000304
116,CID000221518
116,CID000000285
116,CID000000987
116,CID005280436
116,CID000000273
116,CID100011006
116,CID000011006
116,CID000006015
116,CID000008893
116,CID005282769
116,CID000092782
116,CID102826712
116,CID000001033
116,CID000000760
116,CID000010468
116,CID000003894
116,CID100000231
116,CID005280344
117,CID000000191
117,CID100000314
117,CID000000890
117,CID000002518
117,CID000000285
117,CID000000242
117,CID000064947
117,CID000000987
117,CID000023931
117,CID003365553
117,CID024837234
117,CID000444551
117,CID000073551
117,CID000002707
117,CID000005794
117,CID000000086
117,CID100010496
117,CID000010496
117,CID006326972
117,CID000014986
118,CID100000177
118,CID000145745
118,CID000001136
118,CID100000640
119,CID000006087
119,CID000023926
119,CID000005958
119,CID000023995
119,CID000493582
119,CID000024140
119,CID000000890
119,CID000000273
119,CID000023931
119,CID000000703
119,CID000006342
119,CID100000177
119,CID000000892
119,CID000003114
121,CID000000751
121,CID000024140
121,CID000000890
121,CID000023979
121,CID005461146
121,CID100000177
121,CID000145745
121,CID005359440
121,CID024837234
121,CID100000860
121,CID000005991
121,CID000018957
121,CID100000774
121,CID000006275
121,CID000000177
121,CID000001111
121,CID000000273
121,CID000000713
121,CID000005995
121,CID000000703
121,CID000439507
121,CID000005758
121,CID000000242
121,CID005460942
121,CID000006252
121,CID000005235
121,CID000000860
121,CID000010637
121,CID000005794
121,CID000006015
121,CID000013851
121,CID000006913
121,CID000006137
121,CID000005781
121,CID000060963
121,CID000000876
