herbid,diseaseId
HERB000034,HBDIS011977
HERB000034,HBDIS013806
HERB000034,HBDIS014736
HERB000034,HBDIS016457
HERB000034,HBDIS019197
HERB000034,HBDIS024847
HERB000034,HBDIS024848
HERB000034,HBDIS026056
HERB000036,HBDIS002982
HERB000036,HBDIS008561
HERB000036,HBDIS010476
HERB000036,HBDIS011528
HERB000036,HBDIS000098
HERB000036,HBDIS000110
HERB000036,HBDIS000117
HERB000036,HBDIS000204
HERB000036,HBDIS000205
HERB000036,HBDIS000212
HERB000036,HBDIS000237
HERB000036,HBDIS000243
HERB000036,HBDIS000248
HERB000036,HBDIS000265
HERB000036,HBDIS000273
HERB000036,HBDIS000308
HERB000036,HBDIS000329
HERB000036,HBDIS000336
HERB000036,HBDIS000376
HERB000036,HBDIS000389
HERB000036,HBDIS000407
HERB000036,HBDIS000442
HERB000036,HBDIS000443
HERB000036,HBDIS000448
HERB000036,HBDIS000458
HERB000036,HBDIS000471
HERB000036,HBDIS000489
HERB000036,HBDIS000614
HERB000036,HBDIS000616
HERB000036,HBDIS000706
HERB000036,HBDIS000752
HERB000036,HBDIS000756
HERB000036,HBDIS000772
HERB000036,HBDIS000774
HERB000036,HBDIS000775
HERB000036,HBDIS000776
HERB000036,HBDIS000778
HERB000036,HBDIS000821
HERB000036,HBDIS000825
HERB000036,HBDIS000933
HERB000036,HBDIS001045
HERB000036,HBDIS001169
HERB000036,HBDIS001170
HERB000036,HBDIS001225
HERB000036,HBDIS001264
HERB000036,HBDIS001265
HERB000036,HBDIS001276
HERB000036,HBDIS001361
HERB000036,HBDIS001404
HERB000036,HBDIS001418
HERB000036,HBDIS001432
HERB000036,HBDIS001463
HERB000036,HBDIS001502
HERB000036,HBDIS001574
HERB000036,HBDIS001617
HERB000036,HBDIS001619
HERB000036,HBDIS001623
HERB000036,HBDIS001695
HERB000036,HBDIS001698
HERB000036,HBDIS001702
HERB000036,HBDIS001703
HERB000036,HBDIS001723
HERB000036,HBDIS001724
HERB000036,HBDIS001765
HERB000036,HBDIS001772
HERB000036,HBDIS001784
HERB000036,HBDIS001787
HERB000036,HBDIS001810
HERB000036,HBDIS001835
HERB000036,HBDIS001861
HERB000036,HBDIS001882
HERB000036,HBDIS001889
HERB000036,HBDIS001901
HERB000036,HBDIS001934
HERB000036,HBDIS001935
HERB000036,HBDIS001990
HERB000036,HBDIS001992
HERB000036,HBDIS002026
HERB000036,HBDIS002098
HERB000036,HBDIS002103
HERB000036,HBDIS002148
HERB000036,HBDIS002227
HERB000036,HBDIS002263
HERB000036,HBDIS002435
HERB000036,HBDIS002443
